medicine name,MedicineID,associated allergies to medicine,associated allergies ID,medicines that it has bad interactions with,interaction medications to avoid ID, quantity, expirationDate, controlled
Aspirin,1,lactose;gluten,1;2,Lisinopril;Warfarin,2;23, 12, 2024-12-31, false
Lisinopril,2,soy;wheat,3;4,Aspirin;Warfarin,1;23,90,2024-10-15,false
Amoxicillin,3,penicillin;sulfa,5;6,Lisinopril;Oxycodone,2;5,200,2024-08-20,false
Metformin,4,lactose,1,Aspirin;Ibuprofen,1;26,100,2024-11-30,false
Oxycodone,5,none,0,Metformin;Amoxicillin,4;3,75,2024-09-15,true
Sertraline,6,gelatin;soy,7;3,Aspirin;Oxycodone,1;5,110,2024-07-25,false
Alprazolam,7,lactose;corn,1;8,Ibuprofen;Warfarin,26;23,80,2024-06-30,true
Hydrochlorothiazide,8,sulfa,6,Morphine;Ibuprofen,27;26,175,2024-12-14,false
Gabapentin,9,starch,9,Oxycodone;Lisinopril,5;23,95,2024-11-01,false
Metoprolol,10,lactose;soy,1;3,Aspirin;Prednisone,1;11,130,2024-10-20,false
Prednisone,11,gluten,2,Lisinopril;Ibuprofen,2;26,115,2024-09-10,false
Amlodipine,12,none,10,Morphine;Prednisone,17;11,85,2024-08-05,false
Methylphenidate,13,corn;soy,8;3,Sertraline;Oxycodone,8; 7,70,2024-07-15,true
Fluoxetine,14,gelatin,7,Aspirin;Metformin,1;4,160,2024-12-20,false
Omeprazole,15,lactose,1,Prednisone;Aspirin,11;1,190,2024-11-25,false
Levothyroxine,16,lactose;gluten,1;2,Oxycodone;Prednisone,5;11,105,2024-10-30,false
Morphine,17,none,11,Ibuprofen;Lisinopril,26;2,60,2024-09-20,true
Escitalopram,18,soy,3,Warfarin;Ibuprofen,23;26,145,2024-08-15,false
Pantoprazole,19,none,12,Ibuprofen;Lisinopril,26;2,170,2024-07-20,false
Tramadol,20,lactose;starch,1;9,Morphine;Ibuprofen,10;26,90,2024-06-25,true
Cetirizine,21,none,13,Prednisone;Lisinopril,11;2,200,2024-12-10,false
Duloxetine,22,gelatin;soy,7;3,Metformin;Lisinopril,4;2,120,2024-11-05,false
Warfarin,23,lactose,1,Prednisone;Aspirin,11; 1,95,2024-10-25,false
Venlafaxine,24,corn,8,Ibuprofen;Lisinopril,26; 2,110,2024-09-30,false
Fentanyl,25,none,14,Amoxicillin;Warfarin,3; 23,50,2024-08-25,true